Seconds,All,75%
1,76,76
2,100,92
3,112,98
4,95,94
5,40,30
6,89,59
7,112,97
8,114,100
9,118,105
10,111,109
11,124,120
12,128,111
13,102,95
14,109,98
15,110,97
16,98,90
17,95,87
18,89,85
19,100,90
20,124,120
21,142,123
22,156,125
23,145,129
24,142,122
25,121,102
26,122,105
27,111,108
28,188,144
29,199,145
30,220,158
31,212,198
32,222,195
33,232,197
34,222,200
35,212,201
36,200,170
37,221,195
38,212,193
39,223,194
40,243,195
41,221,198
42,200,190
43,220,201
44,213,210
45,244,224
46,300,278
47,342,279
48,432,299
49,451,324
50,460,341
51,459,310
52,340,305
53,324,301
54,311,297
55,204,194
56,222,198
57,211,190
58,300,192
59,321,198
60,333,180
61,344,191
62,300,194
63,288,197
64,222,200
65,211,201
66,222,200
67,221,180
68,212,175
69,250,185
70,265,199
71,244,197
72,224,185
73,221,160
74,300,180
75,312,190
76,322,204
77,311,208
78,300,224
79,323,212
80,312,259
81,322,249
82,311,240
83,301,245
84,312,260
85,310,240
86,309,248
87,303,256
88,305,244
89,309,259
90,312,250
91,311,211
92,310,225
93,315,215
94,311,234
95,312,265
96,322,256
97,321,261
98,323,250
99,310,245
100,311,256
101,308,253
102,310,264
103,312,259
104,322,253
105,311,245
106,321,256
107,308,246
108,309,254
109,313,258
110,315,254
111,308,258
112,307,254
113,309,251
114,312,258
115,314,245
116,315,247
117,311,258
118,321,252
119,322,255
120,315,259
